symbol,volatility,VaR_95,VaR_99,max_drawdown,sharpe_ratio,sortino_ratio,annual_return
هوشیار,0.012291649752235461,-0.021297651092917546,-0.028290241868223546,-0.19426086956521751,0.7353757317486281,1.1798161839581947,0.14348937389246097
خکرمان,0.033317794653121895,-0.038224414303329235,-0.05499159663865549,-0.8044289624284648,0.7231272126136907,1.4412589102570375,0.38246458117283183
لخانه,0.04297014521798179,-0.05658692529334311,-0.10125431305497942,-0.8624305983960519,0.7210190489425387,1.0046848297353288,0.49182865772522966
سفاسی,0.047489372705915356,-0.05046739335685696,-0.09951383499916686,-0.9426353915143152,0.7203982743362622,0.824352685487093,0.5430869500660896
ولراز,0.050653324021597716,-0.04994457912252025,-0.09988703465072812,-0.9756617647058823,0.715720125540571,0.7263696356514493,0.5755081127992695
رویین,0.015767961116419475,-0.02627800919500677,-0.03287632856433598,-0.19258635214827421,0.7070255569546323,1.235411941219149,0.1769745934312186
مارون3,0.023530137647003842,-0.0326042293247468,-0.05433019224628573,-0.5864928909952606,0.6999362382438845,0.779622731694185,0.2614467317345343
مارون,0.023530137647003842,-0.0326042293247468,-0.05433019224628573,-0.5864928909952606,0.6999362382438845,0.779622731694185,0.2614467317345343
ودانا,0.37868384146669776,-0.029864711131844357,-0.04347189054466956,-0.6336206896551724,0.6894961533355076,6.719710701658972,4.144850704238973
خعمرا,0.04182045761470884,-0.029200094590807156,-0.05503874624103636,-0.894493432817414,0.6881774241531082,0.5419808034480768,0.4568666663677456
زقیام,0.041418357744355205,-0.04818939704721718,-0.0659146168635401,-0.9792484576556366,0.6863389678027042,0.7302310344197781,0.4512651574263156
میهن,0.03538463137204818,-0.049221369651105004,-0.06280543430359917,-0.8557950504390741,0.6815835190511483,0.9190151314690148,0.3828547383653089
میهن3,0.03538502187659795,-0.049221369651105004,-0.06280543430359917,-0.8557950504390741,0.6815819761847118,0.9190895723684733,0.3828580968889439
سخواف,0.03821826377136944,-0.04317325800376647,-0.0814228610347173,-0.9449833827360101,0.6637948277525237,0.7673361763432544,0.4027217523668796
بزاگرس,0.03346491379653582,-0.04603260751814538,-0.06092296348933694,-0.9185218013841066,0.6609054278734658,0.9092506219797672,0.3510987632571734
خفناور,0.032384368182172565,-0.04499122931778318,-0.07796325449484935,-0.668859649122807,0.6533687570125439,0.958724486144175,0.3358876703521198
ولتجار,0.033123865113887666,-0.041694139194139154,-0.07748339056992058,-0.8000542103361044,0.6509737762306245,0.7996901454741566,0.34229832319740094
رنیک,0.032886284585883004,-0.04586499438173112,-0.056682473006818064,-0.8302272727272736,0.6474114993189812,0.8823583085264615,0.33798349312461606
زنگان,0.037208861932577345,-0.04948500108919901,-0.06343402025532807,-0.9424243053536572,0.6403416207768992,0.785459351568311,0.3782321036811643
شلرد,0.028209059147278413,-0.035629172239504216,-0.06857438934122871,-0.7509460979850675,0.6313023144337594,1.087358102992891,0.28270028956781207
حآسا,0.03596596199377484,-0.049663468036221105,-0.06411636997077512,-0.925471534867624,0.6293555673294366,0.8897286179381906,0.3593254927098165
بساما,0.04219124264373507,-0.04740002023367821,-0.0647541989881956,-0.8392832903488531,0.6288724307281675,0.7777539368288621,0.4211968776678094
وملت,0.02774964391380654,-0.02968072070197727,-0.049626701760223935,-0.7960752811567595,0.6255628970217131,0.9978006203844652,0.2755679257338768
حبندر,0.04119417768077135,-0.04681422351233669,-0.09660393198510915,-0.7911111111111107,0.624337250622505,0.7920621527713361,0.4082774144897983
دانیک,0.02682730117033755,-0.03350776879238518,-0.07504753688714043,-0.28458942632171,0.6228099695037252,0.923632270896292,0.2652362084310069
سمایه,0.029572921721012398,-0.03432973544551299,-0.06278491080937168,-0.8323068683893425,0.6082703218881177,0.8338668937442537,0.28555589584166824
قشیر,0.03813958169217618,-0.04753453668237082,-0.06405016515366951,-0.9262832577213387,0.6025937332274982,0.7011353593876773,0.36483862198967854
شلیا,0.10990950932923331,-0.04219208767694035,-0.05584231495072337,-0.9252538930264048,0.5975918757045383,1.5342075694208352,1.04265402483294
وحکمت,0.05699453821167977,-0.03789735071832252,-0.07068568453930245,-0.8461335792385717,0.589314605782138,1.3425111347578056,0.5331884272170377
ثتران,0.03227931728848012,-0.045695004382120916,-0.057104928861788584,-0.8581608206892317,0.5831983655489503,0.8752678235804177,0.2988415011675132
کگهر,0.028853651218689512,-0.03267574549710983,-0.051589067564752115,-0.8190026392554522,0.579567103682006,0.5576196027129233,0.26546347492916483
فبیرا,0.04771030814439563,-0.05472063492063488,-0.10110127736179612,-0.9292941176470588,0.5793554680676969,0.657569469250911,0.43879088984073233
کباده,0.45816498309543824,-0.02981208471760797,-0.05832558322824714,-0.7844285714285715,0.5782604938125062,3.74934477232487,4.205771626042198
زگلدشت,0.03868639381120103,-0.04743587374946976,-0.06537721183674411,-0.937830229862564,0.5751734890744596,0.6045694167937264,0.35322983556002924
شپاس,0.031222444039505845,-0.04365790377696219,-0.05795242848038946,-0.8236878622153294,0.5732331598095948,0.6848435524544761,0.284117818448623
داوه,0.03426144882371168,-0.049739018299600785,-0.06607682520776373,-0.8857812607726427,0.5718880474320734,0.8600368770020307,0.3110405522612393
اوان,0.035013292196532264,-0.049867125487588815,-0.06845294564616279,-0.9296871878870201,0.5625542288323557,0.687999543316359,0.3126782065046831
نیرو,0.039016780179165995,-0.049980636333525966,-0.08722091503267972,-0.8804037744129913,0.5590934829236897,0.7037804665448308,0.34628695150888456
وثنو,0.03957628114547093,-0.04825323729754086,-0.09734261901200578,-0.9453411306042885,0.5534980366708977,0.6843921920448018,0.3477373479843253
مروارید,0.01875560085252194,-0.02993652304490329,-0.0427864205568608,-0.43074907705132787,0.5507936798259662,0.9053286011118241,0.16399107030340476
سجام,0.03642409980893113,-0.04827525980263733,-0.08393714132295199,-0.8975084937712345,0.5471392498605652,0.7237167463652114,0.3163639347524349
خصدرا,0.041282422013627654,-0.04068616968676252,-0.08522926784059313,-0.9845662586482171,0.5455951187220114,0.6495565536576919,0.35754928647657563
غشوکو,0.04487069300987997,-0.05681026448147257,-0.09966993101653,-0.9575791581615379,0.5431099034024724,0.605567845559433,0.38685727606366277
حآسا3,0.03559791026315641,-0.04448317067560422,-0.059356623566723624,-0.9788796861377507,0.5390567586096034,0.5834110510419819,0.30462060045411987
زشریف,0.037301609513015505,-0.04761904761904767,-0.060792699469724966,-0.941006233303651,0.5347891218240971,0.5834341811048189,0.3166725407062893
قیستو,0.5884967226808361,-0.03688882699347445,-0.05788166894664842,-0.771018276762402,0.5345168978935583,8.648487226310495,4.993508095458592
شاوان,0.035159270629704274,-0.044080326054397434,-0.05704777990936139,-0.9275958290497872,0.5310978507676802,0.5742923892776998,0.29642489280529755
قچار,0.04097608033060309,-0.049068136568099704,-0.06908717135293171,-0.9844651162790697,0.5266632605595274,0.5149338521132673,0.34258134210414576
وآرین,0.033508561621083975,-0.04271670937890673,-0.08730618148599271,-0.8975,0.5214360053913799,0.7304949708178454,0.2773684581357313
آرمان,0.03251807280083287,-0.038350845391755484,-0.08112998112998117,-0.7538623595505616,0.5177759628039095,0.6563488684371358,0.2672803025997814
تاپکیش,0.043141666006552525,-0.050081967213114774,-0.06814490723719148,-0.9654022988505746,0.5133217493617611,0.5848721552798725,0.351549794432511
اوان3,0.02844364504846913,-0.03455821005752302,-0.05961064627466936,-0.8546421449146905,0.5049471266419695,0.4916242792642604,0.22799820402323268
قجام,0.044428619224839754,-0.05017784923889231,-0.09983321804527802,-0.8963414634146343,0.48824399405573743,0.5425614141144327,0.3443499278333662
هجرت,0.03390526694262184,-0.040196325195066704,-0.057592563149249335,-0.8673983739837399,0.48680761410017653,0.5246537856039605,0.2620141830954209
دی,0.04579353468558898,-0.04865896132625244,-0.05658745007453868,-0.9928793725880742,0.48434601531182997,0.48635174192752634,0.3520952518434337
دقاضی,0.03798547684170052,-0.03639118175242373,-0.07872258064516127,-0.8908684838333079,0.4799140360154818,0.4579626487559544,0.2893885241001697
کیسون,0.03652581275452817,-0.03816254416961129,-0.0663716814159292,-0.9644718143060161,0.4786817328528032,0.5645028972357555,0.27755369499134463
شستان,0.036640005457716986,-0.04328161016524836,-0.09034349565457307,-0.8071197411003238,0.47125654308199433,0.6927053094899387,0.2741026240858502
