symbol,final_value,total_return,num_trades,status
زفکا,24047.333091338074,1.4047333091338072,751.0,
فنفت,9103.313840155946,-0.08966861598440534,33.0,
ومعلم,115488.83607518888,10.548883607518889,1333.0,
بزاگرس,163201.8912372623,15.32018912372623,1289.0,
زماهان,80011.91312027875,7.001191312027876,1279.0,
زشریف,44199.281025876,3.4199281025876003,887.0,
دکپسول,10000.0,0.0,0.0,
درهآور,10000.0,0.0,0.0,
ثجوان,68408.72847413708,5.840872847413708,806.0,
هجرت,10000.0,0.0,0.0,
رنیک,13373.886766850694,0.33738867668506933,307.0,
غنیلی,9512.105399220305,-0.04878946007796947,483.0,
وهنر,54124.80497605175,4.412480497605175,1112.0,
بجهرم,112328.97563874166,10.232897563874166,1112.0,
دتوزیع,10000.0,0.0,0.0,
خبازرس,10000.0,0.0,0.0,
شساخت,10068.753527225845,0.006875352722584438,66.0,
وپویا,20037.285985859147,1.0037285985859148,939.0,
بگیلان,10000.0,0.0,0.0,
تماوند,7677.5195711715105,-0.23224804288284895,828.0,
جوین,42921.080100346386,3.2921080100346387,806.0,
اتکاسا,5512.522688519242,-0.44874773114807576,319.0,
اتکاسا3,5512.522688519242,-0.44874773114807576,319.0,
گنگین,10000.0,0.0,0.0,
وامین,16176.929305042735,0.6176929305042735,99.0,
وفتخار,18760.470976818444,0.8760470976818444,658.0,
ویسا,21928.041833531584,1.1928041833531586,691.0,
غناب,10752.694849136213,0.07526948491362129,40.0,
یارا,10000.0,0.0,0.0,
صنم,10000.0,0.0,0.0,
وامیر,9611.31572677704,-0.038868427322296006,49.0,
مروارید,10142.272557557528,0.014227255755752788,622.0,
رشد,10000.0,0.0,0.0,
پاداش,10000.0,0.0,0.0,
تسه1401,10000.0,0.0,0.0,
نشان,10000.0,0.0,0.0,
هم وزن,12076.488285618154,0.20764882856181544,609.0,
وآفر,10000.0,0.0,0.0,
استقلال,12623.816378740285,0.26238163787402846,257.0,
پرسپولیس,9197.963553219692,-0.08020364467803087,404.0,
بتهران,11256.940858552984,0.1256940858552984,159.0,
عالیس,10032.69891528417,0.003269891528417057,218.0,
عالیس3,10032.69891528417,0.003269891528417057,218.0,
آکام,10000.0,0.0,0.0,
گارانتی,10000.0,0.0,0.0,
کرمان531,10000.0,0.0,0.0,
آلا,10000.0,0.0,0.0,
ناما,12119.675456389452,0.21196754563894515,35.0,
فاخر,10000.0,0.0,0.0,
فجهان061,,,,insufficient_data
دانیک,10379.915802443782,0.03799158024437821,92.0,
طلوع,10000.0,0.0,0.0,
پتروداریوش,10000.0,0.0,0.0,
خورشید,10000.0,0.0,0.0,
سامان07,,,,insufficient_data
بمولد,12689.374083959849,0.2689374083959848,296.0,
وآتوسح,,,,insufficient_data
اونیکس,10000.0,0.0,0.0,
هوشیار,10000.0,0.0,0.0,
اکتوور075,,,,insufficient_data
تیام,10263.343759459187,0.026334375945918698,96.0,
لوازم مادیران062,,,,insufficient_data
پیروز,12387.567733355536,0.23875677333555356,123.0,
فلزفارابی,12806.276510882017,0.28062765108820176,123.0,
رویین,10000.0,0.0,0.0,
آذرین,10000.0,0.0,0.0,
طبیعت061,10000.0,0.0,0.0,
دامون,10000.0,0.0,0.0,
موج,10000.0,0.0,0.0,
عالیفرد071,10000.0,0.0,0.0,
داروک071,,,,insufficient_data
سمگا061,,,,insufficient_data
خلیج,10261.115031757234,0.026111503175723305,81.0,
بمان,10000.0,0.0,0.0,
اخزا201,10000.0,0.0,0.0,
اخزا202,10000.0,0.0,0.0,
هامون,11110.514181405226,0.11105141814052266,201.0,
مبتکران06,,,,insufficient_data
امین شهر,10000.0,0.0,0.0,
نقشینه061,,,,insufficient_data
پتروآبان,10000.0,0.0,0.0,
اهداف061,,,,insufficient_data
فارما کیان,12050.528583765452,0.2050528583765452,175.0,
فنر,10831.485838298928,0.08314858382989287,166.0,
تکپاد,11683.555162734954,0.16835551627349532,163.0,
بازبیمه,9786.179791312663,-0.021382020868733753,125.0,
آردینه,10000.0,0.0,0.0,
تخت گاز,11102.267433697256,0.11022674336972549,174.0,
پایش,10000.0,0.0,0.0,
اخزا203,10000.0,0.0,0.0,
سپینود,10020.0,0.0020000000000000018,128.0,
اصیل,10000.0,0.0,0.0,
شفام,10000.0,0.0,0.0,
معین,13313.36299488435,0.331336299488435,26.0,
خنور,10000.0,0.0,0.0,
اخزا204,10000.0,0.0,0.0,
کربن,10000.0,0.0,0.0,
خبرنا,10000.0,0.0,0.0,
دزاگرس,10000.0,0.0,0.0,
آسان,,,,insufficient_data
نیشکر,,,,insufficient_data
اتوداریوش,,,,insufficient_data
چتر,,,,insufficient_data
اخشان,,,,insufficient_data
پناه,,,,insufficient_data
خیمن,,,,insufficient_data
